NAME,Team,Pos,S,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Total Sets,K,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Tot K,Ave K,E,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Tot Err,Ave E,TA,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Tot Att,Ave Att,PCT,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Ave Hit PCT,A,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Tot Ass,Ave Ass,SA,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Tot SA,Ave Ace,SE,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Tot SE,Ave SE,RE,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Tot RE,Ave RE,DIG,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Tot Dig,Ave Dig,BS,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Tot BS,BA,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Tot BA,Total Blk,Ave Blk,BE,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Tot BE,Ave BE,PTS,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Tot Pts,Ave Pts,Tot Err.1,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Ave Err,Player_Number,Composite_Score,Rating,Rank,Overall_Composite_Score,Overall_Rank
O. Mauch,Nebraska,L,3,3,4,3,5,0,18.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,4,0.0,1,1,1,0,7.0,0.39,0,1,1,0,1,0,3.0,0.17,0,0,2,3,1,0,6.0,0.33,5,1,7,5,9,0,27.0,1.5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,4,0,1,1,1,0,7.0,0.39,0,1,3,3,2,0,0.5,47,1.2450000000000003,36.19972260748961,27.0,1.2450000000000003,139.0
L. Choboy,Nebraska,L,3,3,4,3,5,0,18.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,2,1,0,1,0,0,4.0,0.22,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1,1,1,0,0,0,3.0,0.17,3,6,6,4,6,0,25.0,1.39,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1,1,1,0,0,0,0.17,50,1.083,31.705963938973646,30.0,1.083,146.0
L. Rodriguez,Nebraska,L,3,3,4,3,5,0,18.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,1.0,0.06,0,0,0,0,0,0,0.0,5,1,2,5,5,0,18.0,1.0,0,0.0,1,0,0,0,1.0,0.06,0,0,1,0,1,0,2.0,0.11,0,0,1,0,1,0,2.0,0.11,13,9,22,14,15,0,73.0,4.06,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,1.0,0.06,0,0,2,0,2,0,0.22,53,3.3179999999999996,93.70319001386962,5.0,3.3179999999999996,86.0
A. Pringle,Stanford,L,3,3,4,4,0,0,14.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,1.0,0.07,0,0,0,0,0,0,0.0,0,1,0,1,0,0,2.0,0.14,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,1.0,0.07,7,5,6,5,0,0,23.0,1.64,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0.07,60,1.312,38.05825242718447,25.0,1.312,136.0
T. Beaven,Stanford,L,3,0,0,4,0,0,7.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,62,0.0,1.6643550624133148,50.0,0.0,190.0
M. Cawa,Stanford,L,0,0,0,4,0,0,4.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,,,0,,,0.0,0.0,0,,,0,,,,63,0.0,1.6643550624133148,50.0,0.0,190.0
K. KiOPPch,Stanford,L,3,3,4,4,0,0,14.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,1.0,0.07,2,0.0,0,0,0,0,2.0,0.14,3,0,1,2,0,0,6.0,0.43,0,0,0,0,0,0,0.0,0.0,1,0,0,1,0,0,2.0,0.14,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,2,0,0,0,0,0,2.0,0.14,3,0,1,2,0,0,0.43,64,0.060000000000000026,3.3287101248266304,47.0,0.060000000000000026,187.0
E. Oglivie,Stanford,L,3,3,4,4,0,0,14.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,2,6,10,1,0,0,19.0,1.36,1,1.0,0,0,0,0,2.0,0.14,2,1,1,0,0,0,4.0,0.29,1,1,0,0,0,0,2.0,0.14,12,9,16,14,0,0,51.0,3.64,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1,1,0,0,0,0,2.0,0.14,3,2,1,0,0,0,0.43,66,2.9890000000000003,84.57697642163663,9.0,2.9890000000000003,94.0
G. Guctekin,Wisconsin,L,3,4,5,3,0,0,15.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,2,1,1,0,0,4.0,0.27,0,0.0,1,0,0,0,1.0,0.07,0,2,0,1,0,0,3.0,0.2,0,0,0,0,0,0,0.0,0.0,2,3,13,6,0,0,24.0,1.6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,1.0,0.07,0,2,0,1,0,0,0.2,74,1.282,37.22607489597781,26.0,1.282,138.0
L. Schumacher,Wisconsin,L,3,4,5,3,0,0,15.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,1.0,0.07,0,0,0,0,0,0,0.0,3,0,5,2,0,0,10.0,0.67,0,0.0,1,0,0,0,1.0,0.07,2,0,0,2,0,0,4.0,0.27,0,2,3,0,0,0,5.0,0.33,14,19,24,7,0,0,64.0,4.27,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,1.0,0.07,2,2,3,2,0,0,0.6,76,3.3449999999999993,94.45214979195559,4.0,3.3449999999999993,83.0
S. Damrow,Wisconsin,L,3,4,0,0,0,0,7.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2,0.0,0,0,0,0,2.0,0.29,3,3,0,0,0,0,6.0,0.86,0,0,0,0,0,0,0.0,0.0,2,5,0,0,0,0,7.0,1.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,2,0,0,0,0,0,2.0,0.29,3,3,0,0,0,0,0.86,77,0.687,20.721220527045773,36.0,0.687,162.0
E. Beavin,Kentucky,L,3,4,4,3,0,0,14.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,1.0,0.07,0,0,0,0,0,0,0.0,0,0,1,1,0,0,2.0,0.14,1,0.0,0,0,0,0,1.0,0.07,1,0,0,2,0,0,3.0,0.21,1,0,0,0,0,0,1.0,0.07,9,8,10,11,0,0,38.0,2.71,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,1.0,0.07,2,0,0,2,0,0,0.29,78,2.1369999999999996,60.94313453536754,17.0,2.1369999999999996,117.0
M. Tuozzo,Kentucky,L,3,4,4,3,0,0,14.0,0,0,1,0,0,0,1.0,0.07,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,1.0,0.07,0,0,1,0,0,0,0.071,7,4,4,2,0,0,17.0,1.21,0,1.0,0,1,0,0,2.0,0.14,0,2,1,2,0,0,5.0,0.36,0,0,2,1,0,0,3.0,0.21,12,8,12,7,0,0,39.0,2.79,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,1,1,1,0,0,3.0,0.21,0,2,3,3,0,0,0.57,87,2.2871,65.10679611650487,16.0,2.2871,113.0
S. Breissinger,Creighton,L,3,3,4,5,0,0,15.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,2,1,3,3,0,0,9.0,0.6,1,0.0,1,1,0,0,3.0,0.2,1,1,1,2,0,0,5.0,0.33,1,0,2,2,0,0,5.0,0.33,9,3,6,5,0,0,23.0,1.53,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1,0,1,1,0,0,3.0,0.2,2,1,3,4,0,0,0.67,89,1.1830000000000003,34.47988904299585,29.0,1.1830000000000003,144.0
M. Bilinovic,Creighton,L,3,3,4,5,0,0,15.0,1,0,0,0,0,0,1.0,0.07,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,1.0,0.07,1,0,0,0,0,0,0.067,5,2,2,5,0,0,14.0,0.93,0,2.0,1,2,0,0,5.0,0.33,1,0,2,0,0,0,3.0,0.2,1,0,0,0,0,0,1.0,0.07,17,6,9,16,0,0,48.0,3.2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1,2,1,2,0,0,6.0,0.4,2,0,2,0,0,0,0.27,95,2.771700000000001,78.54923717059641,13.0,2.771700000000001,103.0
A. Hausmann,Creighton,L,3,3,4,5,0,0,15.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,1,1,0,0,2.0,0.13,1,0,1,4,0,0,6.0,0.4,0,0,0,0,0,0,0.0,0.0,1,0,0,1,0,0,2.0,0.13,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,1,1,0,0,2.0,0.13,1,0,1,4,0,0,0.4,96,0.049000000000000016,3.023578363384189,48.0,0.049000000000000016,188.0
