Name,Position,,,Points,,,PPG,,,'FG,,,FG%,,,'2pt,,,2p%,,,'3pt,,,3p%,,,'FT,,,FT%,,,OFF,,,OFFPG,,,DEF,,,DEFPG,,,REB,,,RPG,,,AST,,,APG,,,STL,,,SPG,,,BLK,,,BPG,,,TO,,,TOPG,,,MIN,,,Ave Mins,,,,Point Guard
K. Paranada,Point Guard,12,9,3,8,13,9,'4-9,'3-8,'1-3,'3-5,'5-6,51.61%,'2-4,'3-7,'1-2,'1-2,'3-3,55.56%,'2-5,'0-1,'0-1,'2-3,'2-3,46.15%,'2-2,'3-4,'1-1,'0-0,'1-1,87.50%,1,0,0,0,0,0.2,1,2,0,0,1,0.8,2,2,0,0,1,1,4,6,2,1,2,3,0,0,0,2,2,0.8,0,1,0,1,0,0.4,0,0,1,2,0,0.6,24:06.0,19:16.0,07:33.0,16:36.0,14:37.0,16:25.0,,,,
G. Crisostomo,Power Forward,12,5,14,0,0,6.2,'6-9,'2-6,'6-9,'0-1,'0-0,56.00%,'6-8,'2-5,'6-8,'0-0,'0-0,66.67%,'0-1,'0-1,'0-1,'0-1,'0-0,0.00%,'0-0,'1-2,'2-2,'0-0,'0-0,75.00%,0,3,3,0,0,1.2,5,8,4,1,5,4.6,5,11,7,1,5,5.8,0,0,0,0,0,0,1,0,1,1,0,0.6,0,0,2,1,1,0.8,0,1,1,1,0,0.6,18:04.0,22:57.0,24:35.0,16:30.0,11:39.0,18:45.0,,,,
A. Acido,Shooting Guard,3,14,0,6,6,5.8,'1-2,'5-6,'0-1,'2-6,'2-8,43.48%,'1-2,'1-1,'0-0,'1-2,'0-2,42.86%,'0-0,'4-5,'0-1,'1-4,'2-6,43.75%,'1-2,'0-0,'0-0,'1-3,'0-0,40.00%,0,0,0,4,0,0.8,0,2,1,2,0,1,0,2,1,6,0,1.8,2,1,2,1,0,1.2,1,0,0,0,0,0.2,0,0,0,0,0,0,1,0,0,1,2,0.8,17:17.0,13:53.0,05:42.0,15:34.0,14:32.0,13:23.0,,,,
M. Pangilinan,Small Forward,3,0,2,0,6,2.2,'1-3,'0-0,'0-1,'0-1,'2-2,42.86%,'1-3,'0-0,'0-0,'0-0,'0-0,33.33%,'0-0,'0-0,'0-1,'0-1,'0-0,0.00%,'1-3,'0-0,'2-2,'0-0,'2-2,71.43%,0,0,0,0,0,0,1,0,0,0,0,0.2,1,0,0,0,0,0.2,0,0,1,0,0,0.2,0,1,0,0,0,0.2,0,0,0,0,0,0,1,0,0,0,0,0.2,05:29.0,02:13.0,06:19.0,06:23.0,08:20.0,05:44.0,,,,
M. Llemit,Power Forward,2,7,1,0,0,2,'1-2,'2-4,'0-0,'0-0,'0-3,33.33%,'1-1,'2-4,'0-0,'0-0,'0-2,42.86%,'0-1,'0-0,'0-0,'0-0,'0-1,0.00%,'0-2,'3-3,'1-2,'0-2,'0-0,44.44%,0,0,0,1,3,0.8,0,1,1,1,1,0.8,0,1,1,2,4,1.6,0,2,0,0,0,0.4,0,2,1,1,1,1,0,2,0,0,0,0.4,1,0,0,0,0,0.2,13:12.0,19:19.0,09:29.0,05:42.0,08:58.0,11:20.0,,,,
L. Estacio,Shooting Guard,0,3,0,0,0,0.6,'0-0,'1-2,'0-1,'0-2,'0-0,20.00%,'0-0,'1-2,'0-0,'0-0,'0-0,50.00%,'0-0,'0-0,'0-1,'0-0,'0-0,0.00%,'0-0,'1-2,'0-0,'0-0,'0-0,50.00%,0,0,1,0,0,0.2,0,1,3,0,0,0.8,0,0,4,0,0,0.8,1,0,4,0,0,1,0,0,1,0,0,0.2,0,0,0,0,0,0,0,0,1,0,0,0.2,05:26.0,07:13.0,12:40.0,00:00.0,01:40.0,05:23.0,,,,
E. Laure,Center,0,0,0,0,0,0,'0-0,'0-0,'0-0,'0-0,'0-2,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-2,'0-2,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,0,0,1,0,0.2,0,1,0,0,0,0.2,0,0,0,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01:43.0,01:22.0,01:22.0,03:20.0,02:28.0,02:03.0,,,,
N. Cabanero,Shooting Guard,12,13,27,19,16,17.4,'4-13,'5-13,'8-16,'7-17,'6-16,40.00%,'3-11,'5-10,'6-11,'5-10,'5-11,45.28%,'1-2,'0-3,'2-5,'2-7,'1-5,27.27%,'3-4,'3-4,'9-14,'3-4,'5-6,71.88%,0,2,3,0,0,1,3,6,5,1,3,3.6,3,8,8,1,3,4.6,1,1,1,3,3,1.8,0,1,0,1,1,0.6,0,1,0,0,0,0.2,2,2,2,2,2,2,29:35.0,29:35.0,34:23.0,33:20.0,35:42.0,32:31.0,,,,
C. Manaytay,Power Forward,10,6,10,8,7,8.2,'4-12,'3-6,'3-9,'4-10,'1-5,35.71%,'2-6,'3-4,'2-7,'4-9,'1-3,41.38%,'2-6,'0-2,'1-2,'0-1,'0-2,23.08%,'0-2,'0-1,'3-4,'0-0,'5-6,61.54%,1,1,3,4,3,2.4,7,2,4,2,4,3.8,8,3,7,6,7,6.2,2,2,1,0,1,1.2,1,0,0,1,0,0.4,0,0,0,0,1,0.2,1,2,4,4,2,2.6,27:06.0,27:06.0,23:56.0,23:56.0,25:22.0,25:29.0,,,,
M. Tounkara,Center,8,11,7,15,11,10.4,'4-12,'3-10,'3-14,'7-18,'4-8,33.87%,'4-10,'3-8,'3-11,'7-14,'3-6,40.82%,'0-2,'0-2,'0-3,'0-4,'1-2,7.69%,'0-2,'2-5,'1-4,'1-2,'2-2,40.00%,1,9,5,6,2,4.6,7,5,7,12,10,8.2,8,14,12,18,12,12.8,1,2,0,1,2,1.2,0,1,0,0,0,0.2,1,3,0,1,0,1,1,2,4,5,1,2.6,27:36.0,30:46.0,22:53.0,32:59.0,32:57.0,29:26.0,,,,
F. Padrigan,Point Guard,7,7,7,3,14,7.6,'2-8,'3-12,'3-11,'1-8,'5-14,26.42%,'1-2,'2-5,'2-3,'0-3,'2-5,38.89%,'1-6,'1-7,'1-8,'0-5,'3-9,17.14%,'2-4,'0-0,'1-2,'0-0,'3-9,40.00%,0,0,2,0,1,0.6,0,2,3,0,4,1.8,0,2,5,0,5,2.4,3,6,6,0,3,3.6,0,2,2,3,1,1.6,0,0,0,2,0,0.4,1,2,3,7,2,3,25:29.0,25:38.0,34:14.0,27:33.0,27:31.0,28:05.0,,,,
G. Danting,Small Forward,0,0,5,3,0,1.6,'0-1,'0-1,'1-1,'1-1,'0-0,50.00%,'0-0,'0-0,'1-1,'0-0,'0-0,100.00%,'0-1,'0-0,'0-0,'0-1,'0-0,0.00%,'0-0,'0-0,'2-3,'1-1,'0-0,75.00%,0,0,0,0,0,0,3,1,1,0,0,1,3,1,1,0,0,1,0,3,0,0,0,0.6,0,0,2,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,03:51.0,04:38.0,18:00.0,07:23.0,00:00.0,06:46.0,,,,
J. Bahay,Point Guard,14,11,9,6,22,12.4,'5-14,'3-10,'3-9,'2-12,'8-15,35.00%,'4-7,'1-4,'3-5,'1-3,'7-11,53.33%,'2-7,'2-6,'0-4,'1-9,'1-4,20.00%,'0-0,'3-3,'3-4,'1-2,'5-6,80.00%,0,0,0,0,0,0,2,2,2,3,2,2.2,2,2,2,3,2,2.2,1,2,2,5,4,2.8,1,0,0,1,0,0.4,0,0,0,0,0,0,3,3,2,1,3,2.4,19:58.0,27:33.0,17:26.0,20:21.0,25:31.0,22:09.0,,,,
C. Koon,Shooting Guard,10,2,5,9,9,7,'4-10,'1-3,'1-7,'4-9,'3-9,34.21%,'3-4,'1-3,'0-4,'3-3,'1-4,44.44%,'1-6,'0-0,'1-3,'1-5,'2-5,26.32%,'1-2,'0-0,'2-2,'0-0,'1-4,50.00%,0,2,1,0,0,0.6,3,2,3,1,5,2.8,3,4,4,1,7,3.8,0,0,0,0,2,0.4,2,0,1,1,1,1,0,0,0,0,0,0,2,1,1,5,1,2,34:23.0,10:46.0,26:35.0,20:00.0,26:34.0,23:39.0,,,,
K. Porter,Power Forward,7,2,8,4,8,5.8,'1-7,'1-3,'3-8,'2-8,'2-7,27.27%,'0-1,'1-3,'1-2,'2-5,'1-4,33.33%,'1-6,'0-0,'2-6,'0-3,'1-3,22.22%,'4-4,'0-0,'0-0,'0-2,'3-6,58.33%,3,2,1,2,0,1.6,6,2,1,8,4,4.2,9,4,2,10,7,6.4,1,0,2,0,0,0.6,1,0,0,1,1,0.6,0,0,1,0,0,0.2,2,1,0,1,0,0.8,27:28.0,10:46.0,19:46.0,20:20.0,27:09.0,21:05.0,,,,
J. Lazaro,Small Forward,3,11,4,2,6,5.2,'1-4,'5-7,'1-10,'1-5,'2-9,28.57%,'0-2,'5-7,'1-7,'1-3,'1-4,34.78%,'1-2,'0-0,'0-3,'0-2,'1-2,22.22%,'0-2,'1-2,'2-4,'0-0,'1-2,40.00%,2,6,4,2,0,2.8,2,6,2,2,0,2.4,4,12,6,4,1,5.4,0,3,1,0,1,1,1,1,2,0,0,0.8,0,0,0,0,0,0,0,0,1,1,0,0.4,22:21.0,22:19.0,18:32.0,14:30.0,18:38.0,19:16.0,,,,
S. Quitevis,Shooting Guard,2,2,3,0,5,2.4,'1-3,'0-5,'0-3,'0-2,'2-10,13.04%,'1-1,'0-3,'0-1,'0-2,'1-2,22.22%,'0-2,'0-2,'0-2,'0-0,'1-8,7.14%,'0-0,'2-2,'3-5,'0-0,'0-0,71.43%,1,1,0,1,0,0.6,1,3,1,1,3,1.8,2,4,1,1,3,2.2,2,2,0,1,2,1.4,3,0,0,0,2,1,0,0,0,0,0,0,1,2,1,0,2,1.2,22:40.0,31:55.0,23:20.0,19:40.0,29:36.0,25:26.0,,,,
I. Espinosa,Point Guard,10,5,14,2,8,7.8,'4-9,'1-5,'6-9,'1-3,'1-10,36.11%,'3-7,'1-2,'4-5,'1-2,'0-0,56.25%,'1-2,'0-3,'2-4,'0-1,'1-1,36.36%,'1-2,'3-4,'0-0,'0-0,'5-4,90.00%,1,0,0,1,0,0.4,1,0,2,1,3,1.4,2,0,2,1,3,1.6,2,2,6,1,3,2.8,2,0,0,0,1,0.6,0,0,1,0,0,0.2,3,1,1,1,2,1.6,19:15.0,15:40.0,20:24.0,13:38.0,17:04.0,17:12.0,,,,
A. Bongo,Power Forward,4,15,0,7,1,5.4,'1-5,'5-9,'0-4,'2-5,'0-4,29.63%,'0-2,'3-3,'0-1,'0-0,'0-1,42.86%,'1-3,'2-6,'0-3,'2-5,'0-3,25.00%,'1-3,'3-4,'0-0,'1-1,'1-2,60.00%,2,3,0,2,0,1.4,4,3,6,4,1,3.6,6,6,6,6,2,5.2,0,2,1,3,1,1.4,1,0,1,0,0,0.4,0,0,0,0,0,0,2,1,1,1,0,1,19:28.0,28:41.0,19:49.0,18:33.0,19:17.0,21:09.0,,,,
S. Tuano,Power Forward,4,13,4,8,8,7.4,'2-7,'5-9,'2-6,'3-5,'4-10,43.24%,'2-7,'5-8,'2-5,'3-5,'4-10,45.71%,'0-0,'0-1,'0-1,'0-0,'0-0,0.00%,'0-0,'3-9,'0-0,'2-3,'0-0,41.67%,2,1,2,1,0,1.2,3,3,4,1,1,2.4,5,4,6,1,2,3.6,0,3,1,3,0,1.4,0,2,0,0,1,0.6,0,0,0,0,0,0,2,1,2,1,2,1.6,15:42.0,20:05.0,18:47.0,09:36.0,18:31.0,16:32.0,,,,
K. Ong,Center,0,0,7,7,0,2.8,'0-0,'0-1,'3-4,'3-4,'0-0,66.67%,'0-0,'0-1,'3-4,'3-4,'0-0,66.67%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-2,'0-0,'1-4,'1-4,'0-0,20.00%,0,0,2,2,0,0.8,1,1,2,2,0,1.2,1,1,4,4,0,2,0,1,0,0,0,0.2,0,0,0,0,0,0,0,1,2,2,0,1,0,0,0,0,0,0,02:05.0,11:29.0,17:16.0,17:16.0,00:26.0,09:42.0,,,,
K. Gamber,Point Guard,0,0,0,0,0,0,'0-2,'0-0,'0-2,'0-3,'0-0,0.00%,'0-1,'0-0,'0-2,'0-1,'0-0,0.00%,'0-1,'0-0,'0-0,'0-2,'0-0,0.00%,'0-1,'0-0,'0-0,'0-0,'0-0,0.00%,0,0,0,0,0,0,1,0,0,2,0,0.6,1,0,0,2,0,0.6,1,0,0,0,0,0.2,1,1,0,0,0,0.4,0,0,0,0,0,0,1,1,1,1,1,1,08:01.0,02:46.0,03:21.0,07:08.0,02:43.0,04:47.0,,,,
W. Espina,Small Forward,0,0,0,3,0,0.6,'0-1,'0-1,'0-0,'1-3,'0-0,20.00%,'0-1,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-1,'0-0,'1-3,'0-0,25.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,0,0,0,0,0,0,0,1,0,0,0.2,0,0,1,0,0,0.2,1,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2,02:30.0,00:41.0,04:55.0,07:32.0,02:50.0,03:41.0,,,,
M. Asoro,Shooting Guard,0,0,0,0,0,0,'0-0,'0-0,'0-1,'0-1,'0-2,0.00%,'0-0,'0-0,'0-1,'0-1,'0-1,0.00%,'0-0,'0-0,'0-0,'0-0,'0-1,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,0,0,0,0,0,0,0,1,1,1,0.6,0,0,1,1,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,1.2,00:46.0,00:00.0,04:57.0,04:57.0,11:36.0,04:27.0,,,,
F. Edu,Small Forward,0,0,0,0,0,0,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,0,0,0,0,0,0,0,1,1,1,0.6,0,0,1,1,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04:33.0,00:00.0,04:44.0,04:44.0,04:44.0,03:45.0,,,,
M. Reyes,Power Forward,0,0,0,0,0,0,'0-0,'0-0,'0-0,'0-2,'0-2,0.00%,'0-0,'0-0,'0-0,'0-2,'0-2,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,0,0,2,0,0.4,0,0,0,0,0,0,0,0,0,2,2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.6,00:46.0,00:00.0,00:00.0,10:46.0,10:46.0,04:27.0,,,,
J. Cruz-Dumont,Point Guard,15,14,6,19,0,10.8,'6-10,'3-9,'2-2,'7-14,'0-2,48.65%,'3-5,'2-6,'2-2,'4-6,'0-1,55.00%,'3-5,'1-3,'0-0,'3-8,'0-1,41.18%,'0-0,'7-7,'2-2,'2-2,'0-0,100.00%,0,1,0,0,1,0.4,4,2,1,2,2,2.2,4,3,1,2,3,2.6,4,4,2,2,3,3,0,4,1,2,1,1.6,0,0,0,0,0,0,2,1,0,0,2,1,27:55.0,28:29.0,19:16.0,26:44.0,15:56.0,23:40.0,,,,
R. Maga,Shooting Guard,10,11,15,9,9,10.8,'4-9,'5-9,'5-10,'3-10,'3-10,41.67%,'4-7,'4-5,'2-4,'1-5,'1-5,46.15%,'0-2,'1-3,'3-6,'2-5,'2-5,38.10%,'1-1,'0-2,'2-2,'1-3,'1-3,45.45%,0,0,0,3,3,1.2,2,1,3,3,3,2.4,2,1,3,6,6,3.6,2,0,2,2,2,1.6,2,1,0,2,0,1,0,0,0,0,1,0.2,2,2,0,3,3,2,26:57.0,25:43.0,30:00.0,28:35.0,17:29.0,25:44.0,,,,
P. Momowel,Center,10,11,2,6,12,8.2,'4-8,'3-12,'1-2,'3-6,'5-13,39.02%,'4-8,'3-10,'1-2,'3-6,'5-13,41.03%,'0-0,'0-2,'0-0,'0-0,'0-0,0.00%,'2-4,'5-9,'0-0,'0-2,'2-4,47.37%,2,2,2,4,5,3,9,10,6,6,12,8.6,11,12,8,10,17,11.6,1,1,1,6,9,3.6,0,1,0,6,3,2,2,0,0,0,0,0.4,4,2,0,1,3,2,35:04.0,31:20.0,14:49.0,25:50.0,36:32.0,28:43.0,,,,
J. Abate,Point Guard,10,8,11,0,8,7.4,'4-7,'3-4,'4-8,'0-2,'3-11,43.75%,'2-5,'2-2,'3-6,'0-1,'1-4,44.44%,'2-2,'1-2,'1-2,'0-1,'2-7,42.86%,'0-0,'1-2,'2-2,'0-0,'0-0,75.00%,2,1,1,0,0,0.8,4,1,3,1,5,2.8,6,1,4,1,5,3.4,1,3,1,2,2,1.8,1,1,1,2,0,1,0,0,1,1,0,0.4,1,1,0,2,0,0.8,28:44.0,19:48.0,16:17.0,16:46.0,31:32.0,22:37.0,,,,
D. Fikes,Shooting Guard,9,7,9,12,5,8.4,'3-17,'2-6,'4-8,'4-9,'2-9,30.61%,'2-7,'1-2,'4-4,'2-4,'1-6,43.48%,'1-10,'1-4,'0-4,'2-4,'1-3,20.00%,'2-6,'2-2,'1-1,'2-4,'0-0,53.85%,3,2,4,3,1,2.6,4,3,6,4,2,3.8,7,5,10,7,3,6.4,2,0,3,3,0,1.6,0,0,1,3,1,1,2,0,1,1,0,0.8,3,2,2,3,1,2.2,28:27.0,23:18.0,24:16.0,26:50.0,15:05.0,23:35.0,,,,
W. Lingolingo,Shooting Guard,1,6,8,13,13,8.2,'0-3,'3-7,'3-10,'3-10,'3-10,30.00%,'0-1,'3-4,'3-5,'2-4,'2-4,55.56%,'0-2,'0-3,'0-5,'1-6,'1-6,9.09%,'1-2,'0-0,'2-3,'6-7,'6-7,78.95%,0,4,4,1,1,2,1,5,4,5,5,4,1,9,8,6,6,6,3,4,1,1,1,2,2,1,0,1,0,0.8,1,0,0,0,0,0.2,1,2,2,0,0,1,23:09.0,26:06.0,27:14.0,30:55.0,30:55.0,27:39.0,,,,
G. Wilson,Shooting Guard,0,3,4,3,2,2.4,'0-2,'1-4,'2-5,'1-4,'0-0,26.67%,'0-1,'1-3,'2-5,'0-3,'0-0,25.00%,'0-1,'0-1,'0-0,'1-1,'0-0,33.33%,'0-0,'1-1,'0-0,'0-0,'2-2,100.00%,0,0,0,0,0,0,0,0,1,1,1,0.6,0,0,1,1,1,0.6,1,4,2,0,1,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0.8,03:34.0,13:31.0,20:15.0,06:14.0,06:18.0,09:58.0,,,,
E. Galang,Small Forward,0,3,8,0,0,2.2,'0-7,'1-6,'1-8,'0-5,'0-4,6.67%,'0-3,'0-1,'0-3,'0-0,'0-2,0.00%,'0-4,'1-5,'1-5,'0-5,'0-2,9.52%,'0-0,'0-2,'5-7,'0-0,'0-0,55.56%,0,0,1,1,0,0.4,2,2,6,1,2,2.6,2,2,7,2,2,3,0,0,0,2,0,0.4,0,0,1,2,1,0.8,1,0,0,1,0,0.4,0,0,1,2,1,0.8,18:59.0,24:30.0,27:08.0,16:41.0,16:03.0,20:40.0,,,,
N. Mulingtapang,Shooting Guard,0,0,0,0,0,0,'0-1,'0-0,'0-5,'0-3,'0-1,0.00%,'0-0,'0-0,'0-3,'0-1,'0-1,0.00%,'0-1,'0-0,'0-2,'0-2,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,1,0,0,0,0,0.2,0,0,0,0,1,0.2,1,1,0,0,1,0.6,0,0,0,0,0,0,1,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,1,0.2,03:01.0,01:49.0,06:44.0,04:48.0,06:32.0,04:34.0,,,,
K. Spandonis,Point Guard,0,0,3,3,3,1.8,'0-1,'0-1,'1-3,'1-2,'1-2,33.33%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-1,'0-1,'1-3,'1-2,'1-2,33.33%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03:17.0,03:17.0,04:33.0,04:25.0,04:25.0,03:59.0,,,,
R. Go,Power Forward,0,4,1,2,0,1.4,'0-0,'2-2,'0-2,'0-0,'0-0,50.00%,'0-0,'2-2,'0-2,'0-0,'0-0,50.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'1-2,'2-2,'0-0,75.00%,0,0,1,0,0,0.2,0,0,2,1,0,0.6,0,0,3,1,0,0.8,0,0,0,1,0,0.2,0,0,0,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,00:47.0,08:07.0,07:23.0,06:18.0,01:18.0,04:46.0,,,,
P. Palacielo,Center,16,10,15,7,9,11.4,'7-13,'5-10,'7-11,'5-10,'4-7,54.90%,'7-13,'5-9,'7-11,'5-9,'4-7,57.14%,'0-0,'0-1,'0-0,'0-1,'0-0,0.00%,'2-3,'0-0,'1-2,'0-0,'1-2,57.14%,2,2,2,2,2,2,6,5,4,5,1,4.2,8,7,6,7,3,6.2,1,1,1,1,0,0.8,1,1,2,1,0,1,1,0,0,0,2,0.6,1,4,2,4,2,2.6,29:47.0,27:10.0,26:27.0,27:10.0,08:57.0,23:54.0,,,,
J. Figueroa,Power Forward,14,8,13,9,11,11,'6-10,'3-9,'5-15,'3-9,'5-10,41.51%,'5-7,'2-6,'2-8,'2-6,'5-8,45.71%,'1-3,'1-3,'3-7,'1-3,'0-2,33.33%,'1-1,'1-2,'0-0,'1-2,'1-2,57.14%,0,0,3,0,2,1,3,3,6,3,4,3.8,3,3,11,3,6,5.2,2,4,5,4,5,4,1,2,2,2,2,1.8,0,0,0,0,0,0,1,1,1,1,2,1.2,25:07.0,35:10.0,29:32.0,35:10.0,30:09.0,31:01.0,,,,
S. Enriquez,Shooting Guard,5,3,6,7,0,4.2,'2-8,'0-3,'2-4,'0-3,'0-3,19.05%,'1-6,'0-0,'0-1,'0-0,'0-1,12.50%,'1-2,'0-3,'2-3,'0-3,'0-2,23.08%,'0-0,'3-4,'0-0,'3-4,'0-0,75.00%,1,0,0,0,0,0.2,2,0,0,0,1,0.6,3,0,0,0,1,0.8,3,2,0,2,5,2.4,2,2,0,2,0,1.2,0,0,0,0,0,0,1,0,0,0,2,0.6,12:53.0,17:58.0,13:13.0,17:58.0,13:55.0,15:11.0,,,,
E. Dela Cruz,Power Forward,2,0,8,0,5,3,'1-1,'0-0,'4-8,'0-0,'1-4,46.15%,'1-1,'0-0,'4-8,'0-0,'1-4,46.15%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'3-3,100.00%,1,0,0,0,0,0.2,2,0,1,0,3,1.2,3,0,1,0,3,1.4,0,0,1,0,1,0.4,0,0,0,0,1,0.2,1,0,0,0,0,0.2,2,0,0,0,1,0.6,08:37.0,01:44.0,11:35.0,01:44.0,18:16.0,08:23.0,,,,
D. Lim,Point Guard,1,0,0,3,3,1.4,'0-2,'0-2,'0-3,'0-2,'1-5,7.14%,'0-1,'0-0,'0-3,'0-0,'0-3,0.00%,'0-1,'0-2,'0-0,'0-2,'1-2,14.29%,'1-2,'0-0,'0-0,'0-0,'0-0,50.00%,0,0,0,0,2,0.4,0,2,0,2,1,1,0,2,0,2,3,1.4,2,1,2,1,1,1.4,0,0,0,0,1,0.2,1,1,0,1,0,0.6,0,0,0,0,1,0.2,14:08.0,10:40.0,07:06.0,10:40.0,12:40.0,11:02.0,,,,
T. Garcia,Point Guard,8,1,5,12,2,5.6,'4-8,'0-2,'2-3,'0-2,'1-3,38.89%,'4-8,'0-2,'2-3,'0-2,'1-3,38.89%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'1-2,'1-2,'1-2,'0-0,50.00%,0,0,4,0,0,0.8,1,1,1,1,1,1,1,1,5,1,1,1.8,1,1,0,1,3,1.2,0,0,0,0,0,0,0,0,1,0,0,0.2,0,1,1,1,2,1,11:35.0,08:35.0,13:47.0,08:35.0,13:35.0,11:13.0,,,,
I. Manansala,Power Forward,6,3,16,11,4,8,'3-6,'1-5,'6-9,'1-5,'1-3,42.86%,'3-6,'1-2,'2-4,'1-2,'1-3,47.06%,'0-1,'0-3,'4-5,'0-3,'0-0,33.33%,'0-2,'1-2,'2-4,'1-2,'2-2,50.00%,3,5,2,5,0,3,0,5,5,5,6,4.2,3,10,7,10,6,7.2,0,1,2,1,2,1.2,0,1,0,1,0,0.4,0,1,0,1,2,0.8,0,2,2,2,2,1.6,17:43.0,19:22.0,23:30.0,19:22.0,21:02.0,20:11.0,,,,
K. Padrones,Small Forward,5,4,2,0,0,2.2,'2-3,'1-2,'0-1,'1-2,'0-2,40.00%,'2-3,'1-2,'0-1,'1-2,'0-2,40.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'1-2,'2-4,'2-2,'2-4,'0-0,58.33%,4,2,2,2,1,2.2,1,2,0,2,1,1.2,5,4,2,4,2,3.4,0,0,1,0,3,0.8,0,0,1,0,1,0.4,1,1,0,1,0,0.6,1,1,0,1,1,0.8,13:47.0,15:54.0,20:07.0,15:54.0,17:00.0,16:32.0,,,,
R. Jumamoy,Point Guard,3,4,4,2,3,3.2,'1-5,'1-3,'1-5,'1-3,'1-3,26.32%,'0-1,'1-3,'0-2,'1-3,'1-3,25.00%,'1-4,'0-0,'1-3,'0-0,'0-0,28.57%,'0-0,'2-3,'1-3,'2-3,'0-0,55.56%,0,4,2,4,0,2,1,4,2,4,1,2.4,1,4,4,4,1,2.8,2,2,3,2,2,2.2,1,1,1,1,0,0.8,0,0,0,0,0,0,2,0,1,0,0,0.6,17:07.0,15:21.0,14:34.0,15:21.0,12:12.0,14:55.0,,,,
P. Yu,Point Guard,3,0,0,0,17,4,'1-6,'0-5,'0-4,'0-5,'7-9,27.59%,'0-2,'0-2,'0-2,'0-2,'7-7,46.67%,'1-4,'0-3,'0-2,'0-3,'0-2,7.14%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,0,2,0,0,0.4,2,1,2,1,1,1.4,2,1,4,1,1,1.8,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,1,0,0,0.2,0,0,1,0,1,0.4,23:28.0,13:23.0,17:05.0,13:23.0,17:30.0,16:57.0,,,,
G. Santiago,Small Forward,0,5,4,7,8,4.8,'0-5,'2-9,'1-5,'2-9,'2-3,22.58%,'0-3,'1-4,'1-2,'1-4,'1-1,28.57%,'0-2,'1-5,'0-3,'1-5,'1-2,17.65%,'0-0,'0-0,'2-2,'0-0,'3-5,71.43%,1,1,3,1,1,1.4,1,1,7,1,4,2.8,2,2,10,2,5,4.2,2,1,0,1,0,0.8,1,0,1,0,0,0.4,0,0,0,0,0,0,1,1,1,1,1,1,09:55.0,14:51.0,15:10.0,14:51.0,17:23.0,14:26.0,,,,
N. Tulabut,Power Forward,0,0,1,0,4,1,'0-0,'0-1,'0-1,'0-1,'2-4,28.57%,'0-0,'0-0,'0-0,'0-0,'2-3,66.67%,'0-0,'0-1,'0-1,'0-1,'0-1,0.00%,'0-0,'0-0,'1-2,'0-0,'0-0,50.00%,0,1,1,1,0,0.6,1,1,1,1,1,1,1,2,2,2,1,1.6,0,0,1,0,0,0.2,0,0,0,0,0,0,1,0,0,0,0,0.2,0,1,1,1,2,1,07:54.0,06:35.0,07:17.0,06:35.0,09:28.0,07:33.0,,,,
