NAME,Team,Pos,S,,,,,,Total Sets,K,,,,,,Tot K,Ave K,E,,,,,,Tot Err,Ave E,TA,,,,,,Tot Att,Ave Att,PCT,,,,,,Ave Hit PCT,A,,,,,,Tot Ass,Ave Ass,SA,,,,,,Tot SA,Ave Ace,SE,,,,,,Tot SE,Ave SE,RE,,,,,,Tot RE,Ave RE,DIG,,,,,,Tot Dig,Ave Dig,BS,,,,,,Tot BS,BA,,,,,,Tot BA,Total Blk,Ave Blk,BE,,,,,,Tot BE,Ave BE,PTS,,,,,,Tot Pts,Ave Pts,Tot Err,,,,,,Ave Err
,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,
Q. Menger,Penn St.,L,3,4,4,5,5,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.04,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0.12,1,0,1,2,1,0,5,0.2,0,2,1,1,2,1,7,0.28,0,0,0,0,0,0,0,0,1,0,2,1,0,4,8,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,5,0.2,0,2,1,1,2,1,0.28
J. Hopp,Penn St.,MB,3,0,0,5,5,0,13,1,0,0,1,1,0,3,0.23,1,0,0,0,1,0,2,0.15,4,0,0,2,4,0,10,0.77,0,0,0,0.5,0,0,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.08,0,0,0,0,1,0,1,1,0,0,4,3,0,8,9,0.69,0,0,0,0,0,0,0,0,1.5,0,0,3,3.5,0,8,0.62,1,0,0,0,1,0,0.15
A. Starck,Penn St.,OH,3,0,0,0,0,0,3,1,0,0,0,0,0,1,0.33,1,0,0,0,0,0,1,0.33,4,0,0,0,0,0,4,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,1.33,1,0,0,0,0,0,0.33
C. Burke,Penn St.,MB,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. Markley,Penn St.,OH,3,0,0,0,0,0,3,2,0,0,0,0,0,2,0.67,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0.67,1,0,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0.67,0,0,0,0,0,0,0
C. Cresse,Louisville,MB,3,5,3,4,4,4,23,2,7,6,8,9,4,36,1.57,0,3,1,2,2,2,10,0.43,2,19,10,12,16,13,72,3.13,1,0.211,0.5,0.5,0.438,0.154,0.122,0,0,0,0,0,1,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.04,0,3,0,0,2,0,5,1,11,2,6,4,7,31,36,1.57,0,0,0,1,0,0,1,0.04,2.5,15.5,7,11,13,7.5,56.5,2.46,0,3,1,3,2,2,0.48
E. Glock,Louisville,S,3,5,3,4,4,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.04,0,0,0,0,0,0,0,16,25,22,19,9,11,102,4.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,2,3,2,20,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P. P. Kong,Louisville,MB,3,5,3,4,4,4,23,3,2,4,6,7,1,23,1,1,2,2,3,0,2,10,0.43,4,8,8,12,9,6,47,2.04,0.5,0,0.25,0.25,0.778,-0.167,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0.09,1,0,1,1,1,0,4,0,6,2,6,3,1,18,22,0.96,0,0,0,0,1,1,2,0.09,4,5,6,10,9.5,1.5,36,1.57,1,2,2,3,1,3,0.52
C. Luper,Louisville,OH,3,5,3,4,4,4,23,9,19,13,13,14,21,89,3.87,3,9,1,4,5,6,28,1.22,22,57,21,26,42,59,227,9.87,0.273,0.175,0.571,0.346,0.214,0.254,0.08,0,0,0,1,0,0,1,0.04,1,2,0,0,1,0,4,0.17,2,0,0,1,0,0,3,0.13,0,2,0,1,0,2,5,0.22,5,14,9,13,9,6,56,2.43,0,0,0,1,0,0,1,1,4,0,3,1,1,10,11,0.48,0,1,0,0,1,1,3,0.13,10.5,23,13,15.5,15.5,21.5,99,4.3,5,12,1,6,6,9,1.7
P. PeteOPPen,Louisville,OH,3,5,0,0,4,4,16,2,0,0,0,2,4,8,0.5,0,0,0,0,0,4,4,0.25,4,0,0,0,4,30,38,2.38,0.5,0,0,0,0.5,0,0.063,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0.31,0,0,0,0,0,2,2,0.13,0,0,0,0,0,4,4,0.25,1,0,0,0,4,10,15,0.94,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,0.19,0,0,0,0,0,0,0,0,2,0,0,0,4.5,8,14.5,0.91,0,0,0,0,0,10,0.63
