NAME,Team,Pos,S,,,,,,Total Sets,K,,,,,,Tot K,Ave K,E,,,,,,Tot Err,Ave E,TA,,,,,,Tot Att,Ave Att,PCT,,,,,,Ave Hit PCT,A,,,,,,Tot Ass,Ave Ass,SA,,,,,,Tot SA,Ave Ace,SE,,,,,,Tot SE,Ave SE,RE,,,,,,Tot RE,Ave RE,DIG,,,,,,Tot Dig,Ave Dig,BS,,,,,,Tot BS,BA,,,,,,Tot BA,Total Blk,Ave Blk,BE,,,,,,Tot BE,Ave BE,PTS,,,,,,Tot Pts,Ave Pts,Tot Err,,,,,,Ave Err
,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,
B. Bayless,Pittsburgh,OH,3,3,5,3,4,0,18,0,0,4,0,1,0,5,0.28,1,0,1,0,1,0,3,0.17,4,0,15,0,2,0,21,1.17,-0.25,0,0.2,0,0,0,-0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0.17,0,0,2,0,0,0,2,0.11,0,0,0,0,0,0,0,2,0,1,1,0,0,4,4,0.22,0,0,0,0,0,0,0,0,1,0,4.5,0.5,1,0,7,0.39,1,0,2,0,3,0,0.33
C. Flood,Pittsburgh,OH,3,3,5,3,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.06,0,1,0,1,0,0,2,0.11,0,0,1,0,0,0,1,0.06,0,0,0,0,0,0,0,0,0,2,5,1,3,0,11,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0.11,0,0,1,0,0,0,0.06
D. Griffin,Pittsburgh,L,3,3,5,3,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E. Klika,Pittsburgh,L,3,3,5,3,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,5,0,11,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0.17,12,8,13,9,21,0,63,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.17
M. Meyer,Pittsburgh,L,3,3,5,3,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,5,0.28,0,1,0,1,1,0,3,0.17,0,0,0,0,0,0,0,0,3,0,4,2,2,0,11,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,5,0.28,0,1,0,1,1,0,0.17
D. Virlan,Pittsburgh,MB,3,0,0,0,0,0,3,1,0,0,0,0,0,1,0.33,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,0.333,0,0,0,0,0,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0.67,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0.67,0,0,0,0,0,0,0
N. Buzlutepe,Pittsburgh,S,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B. Garibaldi,Pittsburgh,MB,3,0,0,0,0,0,3,2,0,0,0,0,0,2,0.67,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0.67,1,0,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,3.5,1.17,0,0,0,0,0,0,0
R. Allick,Nebraska,MB,3,3,4,3,5,0,18,3,6,10,5,8,0,32,1.78,0,2,3,1,2,0,8,0.44,3,9,19,9,17,0,57,3.17,1,0.444,0.368,0.444,0.353,0,0.145,0,0,0,0,1,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.06,0,0,0,2,2,0,4,1,7,4,2,8,0,22,26,1.44,0,0,2,0,0,0,2,0.11,3.5,9.5,12,8,14,0,47,2.61,0,2,5,1,2,0,0.56
M. Beason,Nebraska,OH,3,3,4,3,5,0,18,3,8,3,4,8,0,26,1.44,2,2,4,4,2,0,14,0.78,11,17,21,19,29,0,97,5.39,0.091,0.353,-0.048,0,0.207,0,0.034,2,0,0,0,0,0,2,0.11,2,0,0,2,1,0,5,0.28,0,0,3,1,1,0,5,0.28,0,0,0,0,0,0,0,0,3,3,6,5,4,0,21,1.17,0,0,0,0,0,0,0,2,3,3,0,3,0,11,11,0.61,0,0,1,0,1,0,2,0.11,6,9.5,4.5,6,10.5,0,36.5,2.03,2,2,8,5,4,0,1.17
A. Jackson,Nebraska,MB,3,3,4,3,5,0,18,6,6,8,9,19,0,48,2.67,1,4,4,1,2,0,12,0.67,11,15,18,15,27,0,86,4.78,0.455,0.133,0.222,0.533,0.63,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0.11,0,0,0,0,0,0,0,3,3,7,3,5,0,21,21,1.17,0,0,1,0,0,0,1,0.06,7.5,7.5,11.5,10.5,21.5,0,58.5,3.25,1,4,5,1,2,0,0.72
O. Mauch,Nebraska,L,3,3,4,3,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,0,7,0.39,0,1,1,0,1,0,3,0.17,0,0,2,3,1,0,6,0.33,5,1,7,5,9,0,27,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,0,7,0.39,0,1,3,3,2,0,0.5
H. Murray,Nebraska,MB,3,3,4,3,5,0,18,12,9,22,9,20,0,72,4,1,2,8,4,10,0,25,1.39,25,17,44,29,58,0,173,9.61,0.44,0.412,0.318,0.172,0.172,0,0.084,0,3,1,0,1,0,5,0.28,0,2,4,0,3,0,9,0.5,1,2,1,0,3,0,7,0.39,0,0,0,0,4,0,4,0.22,4,12,16,8,15,0,55,3.06,0,0,0,0,0,0,0,1,2,4,1,6,0,14,14,0.78,0,1,0,0,1,0,2,0.11,12.5,12,28,9.5,26,0,88,4.89,2,5,9,4,18,0,2.11
B. Reilly,Nebraska,S,3,3,4,3,5,0,18,2,4,2,0,0,0,8,0.44,0,0,0,2,1,0,3,0.17,3,7,3,9,4,0,26,1.44,0.667,0.571,0.667,-0.222,-0.25,0,0.08,26,33,47,26,55,0,187,10.39,0,0,1,0,0,0,1,0.06,1,0,1,0,1,0,3,0.17,0,0,0,0,0,0,0,0,11,6,6,8,15,0,46,2.56,0,0,0,0,0,0,0,1,1,4,3,1,0,10,10,0.56,0,0,0,1,1,0,2,0.11,2.5,4.5,5,1.5,0.5,0,14,0.78,1,0,1,3,3,0,0.44
L. Choboy,Nebraska,L,3,3,4,3,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,4,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0.17,3,6,6,4,6,0,25,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.17
T. Landfair,Nebraska,OH,3,3,4,3,5,0,18,4,8,8,11,10,0,41,2.28,1,4,5,3,5,0,18,1,8,27,28,26,29,0,118,6.56,0.375,0.148,0.107,0.308,0.172,0,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,10,0.56,0,0,0,0,0,0,0,1,4,1,2,3,0,11,11,0.61,0,0,0,0,0,0,0,0,4.5,10,8.5,12,11.5,0,46.5,2.58,1,4,5,3,5,0,1
K. Orr,Nebraska,S,3,3,4,3,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0.11,0,1,0,2,0,0,3,0.17,0,0,0,0,0,0,0,0,1,2,3,3,5,0,14,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0.11,0,1,0,2,0,0,0.17
L. Rodriguez,Nebraska,L,3,3,4,3,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.06,0,0,0,0,0,0,0,5,1,2,5,5,0,18,1,0,0,1,0,0,0,1,0.06,0,0,1,0,1,0,2,0.11,0,0,1,0,1,0,2,0.11,13,9,22,14,15,0,73,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.06,0,0,2,0,2,0,0.22
L. Blackwell,Nebraska,MB,3,0,0,0,0,0,3,4,0,0,0,0,0,4,1.33,2,0,0,0,0,0,2,0.67,10,0,0,0,0,0,10,3.33,0.2,0,0,0,0,0,0.067,1,0,0,0,0,0,1,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.33,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,4.5,1.5,2,0,0,0,0,0,0.67
L. Krause,Nebraska,OH,3,0,0,0,0,0,3,2,0,0,0,0,0,2,0.67,1,0,0,0,0,0,1,0.33,5,0,0,0,0,0,5,1.67,0.2,0,0,0,0,0,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0.67,1,0,0,0,0,0,0.33
L. Andrew,Stanford,MB,3,3,4,4,0,0,14,4,3,10,4,0,0,21,1.5,3,0,1,1,0,0,5,0.36,10,7,15,10,0,0,42,3,0.1,0.429,0.6,0.3,0,0,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,0,0,8,8,0.57,0,0,0,1,0,0,1,0.07,5,3.5,11,5.5,0,0,25,1.79,4,0,1,2,0,0,0.5
S. Francis,Stanford,MB,3,3,4,4,0,0,14,4,6,17,10,0,0,37,2.64,0,1,2,5,0,0,8,0.57,8,11,36,25,0,0,80,5.71,0.5,0.455,0.417,0.2,0,0,0.112,0,0,1,0,0,0,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.07,0,0,1,1,0,0,2,3,3,3,4,0,0,13,15,1.07,0,0,0,1,0,0,1,0.07,5.5,7.5,19.5,13,0,0,45.5,3.25,0,1,2,6,0,0,0.64
J. Harvey,Stanford,OPP,3,3,4,4,0,0,14,10,13,10,8,0,0,41,2.93,3,1,5,3,0,0,12,0.86,20,23,24,20,0,0,87,6.21,0.35,0.522,0.208,0.25,0,0,0.095,0,1,0,0,0,0,1,0.07,1,0,3,3,0,0,7,0.5,2,0,3,4,0,0,9,0.64,0,0,0,0,0,0,0,0,4,1,10,8,0,0,23,1.64,0,0,0,1,0,0,1,3,0,0,1,0,0,4,5,0.36,0,1,0,0,0,0,1,0.07,12.5,13,13,12.5,0,0,51,3.64,5,2,8,7,0,0,1.57
K. Miner,Stanford,S,3,3,4,4,0,0,14,1,2,2,2,0,0,7,0.5,0,0,1,1,0,0,2,0.14,1,2,7,6,0,0,16,1.14,1,1,0.143,0.167,0,0,0.165,37,36,56,46,0,0,175,12.5,0,1,1,0,0,0,2,0.14,0,2,4,1,0,0,7,0.5,0,0,0,0,0,0,0,0,6,5,9,4,0,0,24,1.71,0,0,0,1,0,0,1,2,2,5,1,0,0,10,11,0.79,0,0,0,0,0,0,0,0,2,4,5.5,3.5,0,0,15,1.07,0,2,5,2,0,0,0.64
A. Pringle,Stanford,L,3,3,4,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.07,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.07,7,5,6,5,0,0,23,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.07
E. Rubin,Stanford,OH,3,3,4,4,0,0,14,15,15,16,14,0,0,60,4.29,4,0,11,11,0,0,26,1.86,26,26,47,45,0,0,144,10.29,0.423,0.577,0.106,0.067,0,0,0.084,2,1,3,1,0,0,7,0.5,3,1,1,1,0,0,6,0.43,3,3,3,2,0,0,11,0.79,1,0,0,0,0,0,1,0.07,5,10,13,8,0,0,36,2.57,0,1,0,0,0,0,1,0,2,0,4,0,0,6,7,0.5,0,0,0,1,0,0,1,0.07,18,18,17,17,0,0,70,5,8,3,14,14,0,0,2.79
T. Beaven,Stanford,L,3,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M. Cawa,Stanford,L,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,,0,,,
K. KiOPPch,Stanford,L,3,3,4,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.07,2,0,0,0,0,0,2,0.14,3,0,1,2,0,0,6,0.43,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0.14,3,0,1,2,0,0,0.43
I. Kurt,Stanford,OH,3,3,4,4,0,0,14,9,10,17,13,0,0,49,3.5,2,1,5,7,0,0,15,1.07,14,17,34,43,0,0,108,7.71,0.5,0.529,0.353,0.14,0,0,0.109,0,1,0,0,0,0,1,0.07,4,1,1,0,0,0,6,0.43,1,3,4,2,0,0,10,0.71,0,1,0,0,0,0,1,0.07,1,1,4,2,0,0,8,0.57,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.07,0,1,0,0,0,0,1,0.07,13,11,18,13.5,0,0,55.5,3.96,3,6,9,9,0,0,1.93
E. Oglivie,Stanford,L,3,3,4,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,10,1,0,0,19,1.36,1,1,0,0,0,0,2,0.14,2,1,1,0,0,0,4,0.29,1,1,0,0,0,0,2,0.14,12,9,16,14,0,0,51,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0.14,3,2,1,0,0,0,0.43
T. Yu,Stanford,S,3,3,4,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0.14,0,0,1,0,0,0,1,0.07,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0.14,0,0,1,0,0,0,0.07
C. Booth,Wisconsin,MB,3,4,5,3,0,0,15,6,10,14,6,0,0,36,2.4,2,4,2,2,0,0,10,0.67,10,20,27,14,0,0,71,4.73,0.4,0.3,0.444,0.286,0,0,0.095,1,0,1,1,0,0,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,4,0.27,0,0,0,0,0,0,0,5,8,9,3,0,0,25,25,1.67,0,1,0,0,0,0,1,0.07,8.5,14,18.5,7.5,0,0,48.5,3.23,2,5,2,2,0,0,0.73
C. Crawford,Wisconsin,MB,3,4,5,3,0,0,15,3,2,4,1,0,0,10,0.67,1,1,2,2,0,0,6,0.4,7,4,8,5,0,0,24,1.6,0.286,0.25,0.25,-0.2,0,0,0.039,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.07,0,0,0,1,0,0,1,0.07,0,0,0,0,0,0,0,0,1,0,7,0,0,0,8,0.53,0,0,0,1,0,0,1,2,2,2,4,0,0,10,11,0.73,0,0,0,0,0,0,0,0,5,3,5,4,0,0,17,1.13,1,1,2,3,0,0,0.47
S. Franklin,Wisconsin,OH,3,4,5,3,0,0,15,12,20,21,11,0,0,64,4.27,2,5,6,5,0,0,18,1.2,22,51,66,40,0,0,179,11.93,0.455,0.294,0.227,0.15,0,0,0.075,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0.13,0,0,3,0,0,0,3,0.2,0,0,0,2,0,0,2,0.13,8,10,8,9,0,0,35,2.33,0,0,0,0,0,0,0,3,2,2,1,0,0,8,8,0.53,0,0,0,0,0,0,0,0,13.5,21,24,11.5,0,0,70,4.67,2,5,9,7,0,0,1.53
C. HFuerBringer,Wisconsin,S,3,4,5,3,0,0,15,0,0,3,0,0,0,3,0.2,1,0,0,1,0,0,2,0.13,1,4,7,3,0,0,15,1,-1,0,0.429,-0.333,0,0,-0.06,41,49,56,28,0,0,174,11.6,1,4,0,3,0,0,8,0.53,1,1,3,3,0,0,8,0.53,0,0,0,0,0,0,0,0,8,21,12,7,0,0,48,3.2,0,0,0,0,0,0,0,3,2,1,2,0,0,8,8,0.53,1,2,0,1,0,0,4,0.27,2.5,5,3.5,4,0,0,15,1,3,3,3,5,0,0,0.93
J. Orzol,Wisconsin,OH,3,4,5,3,0,0,15,8,8,8,7,0,0,31,2.07,2,5,5,3,0,0,15,1,21,29,21,25,0,0,96,6.4,0.286,0.103,0.143,0.16,0,0,0.046,0,1,1,0,0,0,2,0.13,3,0,0,0,0,0,3,0.2,1,0,3,0,0,0,4,0.27,1,0,1,1,0,0,3,0.2,4,13,9,9,0,0,35,2.33,0,0,0,0,0,0,0,1,0,2,2,0,0,5,5,0.33,0,0,0,0,0,0,0,0,11.5,8,9,8,0,0,36.5,2.43,4,5,9,4,0,0,1.47
A. Smrek,Wisconsin,MB,3,4,5,3,0,0,15,14,13,10,7,0,0,44,2.93,1,2,5,2,0,0,10,0.67,19,40,30,18,0,0,107,7.13,0.684,0.275,0.167,0.278,0,0,0.094,0,2,1,1,0,0,4,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,0,0,12,0.8,0,1,0,0,0,0,1,5,8,9,3,0,0,25,26,1.73,0,0,1,0,0,0,1,0.07,16.5,18,14.5,8.5,0,0,57.5,3.83,1,2,6,2,0,0,0.73
G. Guctekin,Wisconsin,L,3,4,5,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,4,0.27,0,0,1,0,0,0,1,0.07,0,2,0,1,0,0,3,0.2,0,0,0,0,0,0,0,0,2,3,13,6,0,0,24,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.07,0,2,0,1,0,0,0.2
D. Robinson,Wisconsin,OPP,3,4,5,3,0,0,15,5,8,7,2,0,0,22,1.47,0,0,2,2,0,0,4,0.27,10,18,15,6,0,0,49,3.27,0.5,0.444,0.333,0,0,0,0.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.07,0,1,0,0,0,0,1,2,2,2,1,0,0,7,8,0.53,1,0,0,0,0,0,1,0.07,6,10,8,2.5,0,0,26.5,1.77,1,0,2,2,0,0,0.33
L. Schumacher,Wisconsin,L,3,4,5,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.07,0,0,0,0,0,0,0,3,0,5,2,0,0,10,0.67,0,0,1,0,0,0,1,0.07,2,0,0,2,0,0,4,0.27,0,2,3,0,0,0,5,0.33,14,19,24,7,0,0,64,4.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.07,2,2,3,2,0,0,0.6
S. Damrow,Wisconsin,L,3,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0.29,3,3,0,0,0,0,6,0.86,0,0,0,0,0,0,0,0,2,5,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0.29,3,3,0,0,0,0,0.86
E. Beavin,Kentucky,L,3,4,4,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.07,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0.14,1,0,0,0,0,0,1,0.07,1,0,0,2,0,0,3,0.21,1,0,0,0,0,0,1,0.07,9,8,10,11,0,0,38,2.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.07,2,0,0,2,0,0,0.29
B. Bultema,Kentucky,MB,3,4,4,3,0,0,14,4,8,10,6,0,0,28,2,2,5,3,2,0,0,12,0.86,8,20,16,15,0,0,59,4.21,0.25,0.15,0.438,0.267,0,0,0.079,0,0,0,1,0,0,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0.21,0,1,0,1,0,0,2,1,6,2,1,0,0,10,12,0.86,0,0,0,0,0,0,0,0,4.5,12,11,7.5,0,0,35,2.5,2,5,3,2,0,0,0.86
J. Dailey,Kentucky,MB,3,4,4,3,0,0,14,7,9,5,3,0,0,24,1.71,0,0,3,3,0,0,6,0.43,13,16,15,14,0,0,58,4.14,0.538,0.563,0.133,0,0,0,0.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,5,0.36,0,0,2,0,0,0,2,4,4,1,4,0,0,13,15,1.07,1,0,0,1,0,0,2,0.14,9,11,7.5,5,0,0,32.5,2.32,1,0,3,4,0,0,0.57
B. Deleye,Kentucky,OH,3,4,4,3,0,0,14,15,18,22,22,0,0,77,5.5,2,6,4,9,0,0,21,1.5,27,45,43,40,0,0,155,11.07,0.481,0.267,0.419,0.325,0,0,0.107,1,1,0,0,0,0,2,0.14,3,3,3,1,0,0,10,0.71,4,4,3,3,0,0,14,1,0,1,1,3,0,0,5,0.36,5,11,6,2,0,0,24,1.71,0,0,1,0,0,0,1,1,2,1,0,0,0,4,5,0.36,0,0,0,0,0,0,0,0,18.5,22,26.5,23,0,0,90,6.43,6,11,8,15,0,0,2.86
E. Grome,Kentucky,S,3,4,4,3,0,0,14,1,1,2,0,0,0,4,0.29,0,0,0,0,0,0,0,0,1,1,2,2,0,0,6,0.43,1,1,1,0,0,0,0.214,33,47,50,37,0,0,167,11.93,1,0,1,0,0,0,2,0.14,1,0,1,1,0,0,3,0.21,0,0,0,0,0,0,0,0,8,12,10,5,0,0,35,2.5,0,0,1,0,0,0,1,2,5,2,3,0,0,12,13,0.93,0,2,0,0,0,0,2,0.14,3,3.5,5,1.5,0,0,13,0.93,1,2,1,1,0,0,0.36
M. Wilson,Kentucky,OH,3,4,4,3,0,0,14,8,11,13,7,0,0,39,2.79,3,5,4,4,0,0,16,1.14,24,26,24,20,0,0,94,6.71,0.208,0.231,0.375,0.15,0,0,0.069,1,0,0,0,0,0,1,0.07,2,0,0,0,0,0,2,0.14,1,3,3,3,0,0,10,0.71,0,0,0,0,0,0,0,0,3,5,1,5,0,0,14,1,0,0,0,0,0,0,0,1,3,0,2,0,0,6,6,0.43,0,0,0,0,0,0,0,0,10.5,12.5,13,8,0,0,44,3.14,4,8,7,7,0,0,1.86
