Name,Position,Unnamed: 2,Unnamed: 3,Points,Unnamed: 5,Unnamed: 6,PPG,Unnamed: 8,Unnamed: 9,'FG,Unnamed: 11,Unnamed: 12,FG%,Unnamed: 14,Unnamed: 15,'2pt,Unnamed: 17,Unnamed: 18,2p%,Unnamed: 20,Unnamed: 21,'3pt,Unnamed: 23,Unnamed: 24,3p%,Unnamed: 26,Unnamed: 27,'FT,Unnamed: 29,Unnamed: 30,FT%,Unnamed: 32,Unnamed: 33,OFF,Unnamed: 35,Unnamed: 36,OFFPG,Unnamed: 38,Unnamed: 39,DEF,Unnamed: 41,Unnamed: 42,DEFPG,Unnamed: 44,Unnamed: 45,REB,Unnamed: 47,Unnamed: 48,RPG,Unnamed: 50,Unnamed: 51,AST,Unnamed: 53,Unnamed: 54,APG,Unnamed: 56,Unnamed: 57,STL,Unnamed: 59,Unnamed: 60,SPG,Unnamed: 62,Unnamed: 63,BLK,Unnamed: 65,Unnamed: 66,BPG,Unnamed: 68,Unnamed: 69,TO,Unnamed: 71,Unnamed: 72,TOPG,Unnamed: 74,Unnamed: 75,MIN,Unnamed: 77,Unnamed: 78,Ave Mins,Unnamed: 80,Unnamed: 81,Unnamed: 82,Point Guard,Player_Number,Composite_Score,Rating,Rank,Overall_Composite_Score,Overall_Rank
C. Padilla,Shooting Guard,3,1,6,4,0,2.8,'1-8,'0-6,'2-4,'1-6,'0-2,15.38%,'0-0,'0-2,'0-0,'0-1,'0-2,0.00%,'1-8,'0-4,'2-4,'1-5,'0-0,19.05%,'0-0,'1-2,'0-0,'1-3,'0-0,40.00%,0,0,0,1,0,0.2,5,2,0,0,0,1.4,5,2,0,1,0,1.6,1,2,1,4,2,2.0,2,3,0,3,1,1.8,0,0,0,0,0,0.0,6,1,0,3,1,2.2,26:17.0,21:18.0,21.183333333333334,23:02.0,20:22.0,22:26.0,0.0,0.0,0.0,0,137,22.403333333333336,49.05136857892764,16.0,22.403333333333336,85.0
J. Meniano,Shooting Guard,0,2,0,2,0,0.8,'0-1,'1-6,'0-0,'0-1,'0-1,11.11%,'0-1,'1-4,'0-0,'0-1,'0-0,16.67%,'0-0,'0-2,'0-0,'0-0,'0-1,0.00%,'0-0,'0-1,'0-0,'2-2,'0-0,66.67%,0,3,0,1,0,0.8,2,0,1,0,0,0.6,2,3,1,1,0,1.4,0,3,1,1,0,1.0,0,2,0,1,0,0.6,0,0,0,0,0,0.0,0,0,1,0,1,0.4,09:19.0,12:24.0,7.666666666666667,16:24.0,05:30.0,10:15.0,0.0,0.0,0.0,0,144,8.706666666666667,18.23772028496438,32.0,8.706666666666667,156.0
K. Mazo,Shooting Guard,0,0,2,0,0,0.4,'0-1,'0-1,'0-2,'0-2,'0-4,0.00%,'0-1,'0-0,'0-0,'0-0,'0-1,0.00%,'0-0,'0-1,'0-2,'0-2,'0-3,0.00%,'0-0,'0-0,'2-2,'0-0,'0-0,100.00%,0,0,0,0,2,0.4,0,0,2,0,1,0.6,0,0,2,0,3,1.0,0,2,3,0,1,1.2,0,2,0,1,2,1.0,0,0,0,0,0,0.0,2,2,2,1,3,2.0,05:46.0,08:53.0,13.6,07:42.0,16:44.0,10:32.0,0.0,0.0,0.0,0,147,13.04,27.986501687289085,30.0,13.04,135.0
K. Agojo,Shooting Guard,6,2,2,0,2,2.4,'3-6,'1-5,'1-5,'0-0,'0-5,23.81%,'3-4,'1-4,'1-3,'0-0,'0-5,31.25%,'0-2,'0-1,'0-2,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'2-2,100.00%,2,3,2,0,1,1.6,2,3,1,0,2,1.6,4,6,3,0,3,3.2,0,0,1,0,1,0.4,0,1,1,0,1,0.6,0,0,0,0,0,0.0,2,0,2,0,1,1.0,18:10.0,22:50.0,17.883333333333333,07:30.0,12:55.0,15:51.0,0.0,0.0,0.0,0,149,19.403333333333332,42.302212223472054,25.0,19.403333333333332,112.0
M. Fetalvero,Shooting Guard,0,0,3,1,0,0.8,'0-0,'0-0,'1-1,'0-0,'0-0,100.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'1-1,'0-0,'0-0,100.00%,'0-0,'0-0,'0-0,'1-2,'0-0,50.00%,0,0,0,0,1,0.2,0,0,1,0,0,0.2,0,0,1,0,1,0.4,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,0,0,0,0,0.2,01:51.0,01:03.0,3.2666666666666666,01:35.0,03:08.0,02:10.0,0.0,0.0,0.0,0,155,3.5466666666666664,6.6291713535808015,43.0,3.5466666666666664,186.0
D. Nieves,Shooting Guard,0,0,0,0,2,0.4,'0-0,'0-0,'0-1,'0-0,'0-2,0.00%,'0-0,'0-0,'0-1,'0-0,'0-2,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'2-2,100.00%,0,0,1,0,0,0.2,1,0,1,0,1,0.6,1,0,2,0,1,0.8,0,0,2,0,1,0.6,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2,1,0,0,0,0.6,02:15.0,07:29.0,5.533333333333333,01:03.0,03:27.0,03:57.0,0.0,0.0,0.0,0,160,5.533333333333333,11.098612673415822,38.0,5.533333333333333,171.0
K. Pesquera,Shooting Guard,17,9,10,11,8,11.0,'7-18,'2-8,'4-9,'3-12,'3-13,31.67%,'5-11,'2-4,'2-3,'2-6,'1-7,38.71%,'2-7,'0-4,'2-6,'1-6,'2-6,24.14%,'1-2,'5-7,'0-0,'4-8,'0-0,58.82%,4,1,0,2,0,1.4,3,4,3,4,1,3.0,7,5,3,6,1,4.4,6,2,3,5,5,4.2,2,0,1,1,1,1.0,0,0,0,1,0,0.2,5,7,5,0,3,4.0,35:03.0,32:52.0,28.2,33:58.0,33:58.0,32:48.0,0.0,0.0,0.0,0,167,32.41,71.56355455568053,5.0,32.41,27.0
B. Barba,Shooting Guard,1,0,0,0,0,0.2,'0-0,'0-1,'0-3,'0-0,'0-1,0.00%,'0-0,'0-0,'0-1,'0-0,'0-0,0.00%,'0-0,'0-1,'0-2,'0-0,'0-1,0.00%,'1-2,'0-0,'0-0,'0-0,'0-0,50.00%,0,0,1,0,0,0.2,0,1,0,0,0,0.2,0,1,1,0,0,0.4,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,02:52.0,04:08.0,3.7666666666666666,01:51.0,02:54.0,03:06.0,0.0,0.0,0.0,0,170,3.9766666666666666,7.5965504311961,39.0,3.9766666666666666,179.0
A. Maw,Shooting Guard,4,25,6,9,6,10.0,'2-4,'8-14,'2-6,'4-8,'2-8,45.00%,'2-3,'6-11,'0-1,'4-8,'1-5,46.43%,'0-1,'2-3,'2-5,'0-0,'1-3,41.67%,'0-0,'7-12,'0-0,'1-3,'1-2,52.94%,3,4,2,1,2,2.4,6,3,5,4,3,4.2,9,7,7,5,5,6.6,1,2,0,1,0,0.8,2,2,2,0,2,1.6,1,0,1,0,1,0.6,2,6,2,2,4,3.2,22:09.0,25:40.0,25.416666666666668,26:47.0,29:02.0,25:48.0,0.0,0.0,0.0,0,171,30.136666666666667,66.44919385076865,9.0,30.136666666666667,46.0
L. Ozar,Shooting Guard,13,14,7,9,16,11.8,'6-10,'6-11,'3-13,'3-11,'5-12,40.35%,'6-10,'5-8,'3-11,'3-9,'4-9,44.68%,'0-0,'1-3,'0-2,'0-2,'1-3,20.00%,'1-4,'1-2,'1-3,'3-4,'5-9,50.00%,4,2,4,0,2,2.4,0,9,3,9,6,5.4,4,11,7,9,8,7.8,2,8,5,3,5,4.6,3,1,3,1,4,2.4,0,0,0,0,0,0.0,0,4,6,6,5,4.2,23:31.0,29:48.0,28.4,34:28.0,23:44.0,27:59.0,0.0,0.0,0.0,0,172,34.669999999999995,76.64791901012372,3.0,34.669999999999995,22.0
